 ,,,,,,,,,,,,,,,
敏感词,Sensitive Word,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,第一次测试日期/结果 Date/Result of Test 1,,第二次测试日期/结果 Date/Result of Test 2,,第三次测试日期/结果 Date/Result of Test 3,,第四次测试日期/结果 Date/Result of Test 4,,第五次测试日期/结果 Date/Result of Test 5,,第六次测试日期/结果 Date/Result of Test 6,,"“中国数字时代敏感词开源研究项目”是网站《中国数字时代》的一个研究项目，目前在更新新浪微博搜索敏感词列表。请网友参与，提供敏感词线索，共同构建和完善该敏感词列表。
"
松花江,Songhua River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
雅鲁藏布江,Yarlung Zangbo River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
鸭绿江,Yalu River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
黄浦江,Huangpu River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
澜沧江,Lancang River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
两江论坛,Two Rivers Forum,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江中药业,Jiangzhong Pharmaceuticals,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江中健胃消食片,Jiangzhong digestive pills (fake medicine),--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江淮汽车,Jianghuai cars,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江铃汽车,Jiangling cars,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江青,Jiang Qing,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
江姐,Older Sister Jiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
潘长江,Pan Changjiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江映蓉,Jiang Yingrong,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江美琪,Jiang Meiqi,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江若琳,Jiang Ruolin,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江语晨,Jiang Yuchen,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江铠同,Jiang Kaitong,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江讯,Jiang Xun,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
欧阳夏丹,Ouyang Xiadan,--,2011-06-24,Y,2011-10-20,N,,,,,,,,,
六四,six four,--,2011-06-04,Y,,,,,,,,,,,
学运,student movement,--,2011-06-04,Y,2012-03-26,N,,,,,,,,,
八九,eight nine,--,2011-06-04,Y,2013-07-20,N,,,,,,,,,
1989,1989,--,2011-06-04,Y,,,,,,,,,,,
8964,8964,--,2011-06-04,Y,,,,,,,,,,,
22周年,22-year anniversary,--,2011-06-04,Y,,,,,,,,,,,
民运,democracy movement,--,2011-06-04,Y,,,,,,,,,,,
学潮,student strike,--,2011-06-04,Y,,,,,,,,,,,
罢课潮,wave of student strikes,--,2011-06-04,Y,,,,,,,,,,,
祖国母亲,motherland mothers,--,2011-06-04,Y,,,,,,,,,,,
天安门,Tiananmen,--,2011-06-04,Y,,,,,,,,,,,
天安门母亲,Tiananmen Mothers,--,2011-06-04,Y,,,,,,,,,,,
胡耀邦,Hu Yaobang,--,2011-06-04,Y,,,,,,,,,,,
江泽民,Jiang Zemin,--,2011-06-04,Y,,,,,,,,,,,
赵紫阳,Zhao Ziyang,--,2011-06-04,Y,2011-10-27,Y,,,,,,,,,
王丹,Wang Dan,--,2011-06-04,Y,,,,,,,,,,,
丁子霖,Ding Zilin,--,2011-06-04,Y,,,,,,,,,,,
学生领袖,student leader,--,2011-06-04,Y,2014-10-08,Y,,,,,,,,,
